Points
[[39.736135, 3.274803], [39.733779, 3.267972], [39.733759, 3.265605], [39.733844, 3.264042], [39.73337, 3.262754], [39.734019, 3.261949], [39.734624, 3.26087], [39.734174, 3.259261], [39.733601, 3.258113], [39.73313, 3.257557], [39.732331, 3.25711], [39.731308, 3.256087], [39.72982, 3.255437], [39.729702, 3.247978], [39.730699, 3.240841]]
[[39.932914, 3.130644], [39.937803, 3.131494], [39.938327, 3.132522], [39.939647, 3.133244], [39.942297, 3.134991], [39.942907, 3.135934], [39.943676, 3.136325], [39.944129, 3.137466], [39.944158, 3.138329], [39.944203, 3.138152], [39.944062, 3.137209], [39.942586, 3.136904], [39.938985, 3.135774], [39.935318, 3.135962], [39.929999, 3.132458]]
[[39.611183, 2.706592], [39.613335, 2.700112], [39.613702, 2.694235], [39.618062, 2.695514], [39.62156, 2.701739], [39.623504, 2.707986], [39.626466, 2.711392], [39.622495, 2.711649], [39.625501, 2.716984], [39.624928, 2.721425], [39.626242, 2.725749], [39.623539, 2.727197], [39.620093, 2.723714], [39.615065, 2.717715], [39.61035, 2.710231]]
[[39.771329, 2.736203], [39.767507, 2.741259], [39.765637, 2.744616], [39.764698, 2.746882], [39.763977, 2.751929], [39.762783, 2.753257], [39.761963, 2.755556], [39.760171, 2.755865], [39.762894, 2.755659], [39.765796, 2.755995], [39.765415, 2.75433], [39.766322, 2.751799], [39.767214, 2.748618], [39.767168, 2.743358], [39.768523, 2.737996]]
[[39.356824, 3.190396], [39.351858, 3.176109], [39.37362, 3.124836], [39.390095, 3.146284], [39.390725, 3.151825], [39.405687, 3.154714], [39.424812, 3.165406], [39.434881, 3.177831], [39.432701, 3.181652], [39.432627, 3.186487], [39.43637, 3.19005], [39.424284, 3.18993], [39.4188, 3.186905], [39.397213, 3.194874], [39.377583, 3.197282]]
[[39.87244, 3.01695], [39.8711, 3.0174], [39.87024, 3.01772], [39.86921, 3.01759], [39.86941, 3.01807], [39.86932, 3.01899], [39.86801, 3.01848], [39.86869, 3.01954], [39.8678, 3.01915], [39.86764, 3.01944], [39.86758, 3.02002], [39.86803, 3.02008], [39.86817, 3.02058], [39.86852, 3.02115], [39.86899, 3.02192]]
[[39.732049, 3.319655], [39.7337, 3.316064], [39.734911, 3.315962], [39.73709, 3.31128], [39.73857, 3.30997], [39.73828, 3.30766], [39.73631, 3.31229], [39.73409, 3.31612], [39.73326, 3.31786], [39.72813, 3.32185], [39.72535, 3.32373], [39.71928, 3.32424], [39.71555, 3.32608], [39.711654, 3.33248], [39.696541, 3.346197]]
[[39.961052, 3.212244], [39.959225, 3.209942], [39.956374, 3.208444], [39.956355, 3.202296], [39.95147, 3.198133], [39.95409, 3.189635], [39.949065, 3.180104], [39.948133, 3.179145], [39.945802, 3.176758], [39.942454, 3.171395], [39.941454, 3.159151], [39.932627, 3.138954], [39.931491, 3.123099], [39.928858, 3.110525], [39.913157, 3.099909]]
[[39.489864, 2.484353], [39.481991, 2.483292], [39.476888, 2.483912], [39.474795, 2.492948], [39.472579, 2.498377], [39.469226, 2.505707], [39.467613, 2.510605], [39.462169, 2.518331], [39.461001, 2.520353], [39.463109, 2.509703], [39.469298, 2.511144], [39.469474, 2.507185], [39.471855, 2.501843], [39.47405, 2.493819], [39.477616, 2.482202]]
[[39.63011, 2.52625], [39.63513, 2.51902], [39.6355, 2.51634], [39.63627, 2.51023], [39.64103, 2.50956], [39.645, 2.50952], [39.64844, 2.50922], [39.64783, 2.50409], [39.64951, 2.50018], [39.64925, 2.49815], [39.64865, 2.49542], [39.64865, 2.4922], [39.64839, 2.48973], [39.65043, 2.48967], [39.65116, 2.48667]]
[[39.713271, 2.620438], [39.718227, 2.623053], [39.721847, 2.620807], [39.727238, 2.623312], [39.727789, 2.625175], [39.730745, 2.629953], [39.730001, 2.634949], [39.728271, 2.639813], [39.73083, 2.646037], [39.731983, 2.651702], [39.72821, 2.651061], [39.724856, 2.651937], [39.718649, 2.643937], [39.715618, 2.635259], [39.713452, 2.628459]]
[[39.617683, 2.628177], [39.62833, 2.598924], [39.624504, 2.586182], [39.629406, 2.579711], [39.630146, 2.573784], [39.632191, 2.565732], [39.635242, 2.559768], [39.639992, 2.556231], [39.643833, 2.550047], [39.653656, 2.549142], [39.659718, 2.560372], [39.664291, 2.567414], [39.661098, 2.573858], [39.642895, 2.579887], [39.632668, 2.605267]]
[[39.852231, 3.119488], [39.869206, 2.926236], [39.821999, 2.866049], [39.789315, 2.780357], [39.774551, 2.687201], [39.739642, 2.622135], [39.689056, 2.535336], [39.646063, 2.462009], [39.582968, 2.432703], [39.527938, 2.536526], [39.478009, 2.745365], [39.395784, 2.973089], [39.387341, 3.166013], [39.528566, 3.299489], [39.69069, 3.34381]]
[[39.670789, 2.561023], [39.675512, 2.553097], [39.673156, 2.550358], [39.673641, 2.54577], [39.672922, 2.540126], [39.672956, 2.534604], [39.670383, 2.529278], [39.670799, 2.524737], [39.666855, 2.524446], [39.668543, 2.514116], [39.674133, 2.51009], [39.677484, 2.519934], [39.678424, 2.528436], [39.680289, 2.540983], [39.675966, 2.552342]]
[[39.766306, 2.715168], [39.770837, 2.734874], [39.767016, 2.743241], [39.766127, 2.750726], [39.765329, 2.754267], [39.76341, 2.755726], [39.759019, 2.756197], [39.762381, 2.760429], [39.766234, 2.762141], [39.761451, 2.759491], [39.759891, 2.754149], [39.758198, 2.750239], [39.758674, 2.747515], [39.757481, 2.747367], [39.753829, 2.746212]]
[[39.79803, 2.88507], [39.79956, 2.88129], [39.80306, 2.87599], [39.80203, 2.86892], [39.80381, 2.85595], [39.80377, 2.86186], [39.79823, 2.88391], [39.80333, 2.87982], [39.80088, 2.87065], [39.80174, 2.86268], [39.80598, 2.85299], [39.80274, 2.86404], [39.80684, 2.88262], [39.80658, 2.89513], [39.79879, 2.88964]]
[[39.626524, 2.500103], [39.628408, 2.501389], [39.629987, 2.50159], [39.630057, 2.504877], [39.629914, 2.507121], [39.630577, 2.507245], [39.631008, 2.510956], [39.627644, 2.512327], [39.627521, 2.50862], [39.626989, 2.509204], [39.62867, 2.502981], [39.635393, 2.505065], [39.63761, 2.505433], [39.632105, 2.503535], [39.629551, 2.50138]]
[[39.74904, 3.31113], [39.75246, 3.31675], [39.7558, 3.32248], [39.75846, 3.32719], [39.76098, 3.33109], [39.76727, 3.33452], [39.77288, 3.33561], [39.77535, 3.33333], [39.77416, 3.33493], [39.77257, 3.33561], [39.76719, 3.33451], [39.76111, 3.33124], [39.75869, 3.32755], [39.75658, 3.3238], [39.75348, 3.31859]]
