Iteration;ELBO
666;-172.40635533321347
667;-172.4063098500967
668;-172.40626431216492
669;-172.40621871941448
670;-172.4061730717965
671;-172.4061273692887
672;-172.40608161187697
673;-172.40603579951949
674;-172.40598993219692
675;-172.40594400988471
676;-172.40589803255193
677;-172.40585200016812
678;-172.40580591271123
679;-172.40575977014964
680;-172.40571357245472
681;-172.40566731960212
682;-172.40562101156661
683;-172.40557464831477
684;-172.4055282298184
685;-172.40548175605932
686;-172.40543522699386
687;-172.40538864260884
688;-172.40534200286993
689;-172.4052953077462
690;-172.40524855721151
691;-172.40520175122788
692;-172.40515488978281
693;-172.40510797284514
694;-172.40506100036828
695;-172.40501397234289
696;-172.40496688873532
697;-172.40491974950851
698;-172.40487255464018
699;-172.40482530410213
700;-172.40477799785572
701;-172.40473063588092
702;-172.40468321814978
703;-172.40463574462478
704;-172.40458821527136
705;-172.40454063008178
706;-172.40449298900171
707;-172.40444529201136
708;-172.4043975390839
709;-172.40434973018796
710;-172.4043018652842
711;-172.4042539443526
712;-172.40420596736521
713;-172.40415793426996
714;-172.40410984506138
715;-172.40406169969719
716;-172.40401349814761
717;-172.40396524037942
718;-172.40391692636217
719;-172.4038685560663
720;-172.40382012946748
721;-172.40377164651522
722;-172.40372310719658
723;-172.40367451147358
724;-172.40362585931553
725;-172.40357715068444
726;-172.40352838555532
727;-172.40347956389087
728;-172.40343068567108
729;-172.40338175084821
730;-172.40333275940043
731;-172.40328371128999
732;-172.40323460648551
733;-172.40318544495722
734;-172.40313622667304
735;-172.4030869515891
736;-172.40303761968789
737;-172.40298823093417
738;-172.40293878528473
739;-172.40288928271616
740;-172.40283972319594
741;-172.40279010668019
742;-172.40274043314434
743;-172.40269070255681
744;-172.40264091487643
745;-172.4025910700766
746;-172.40254116812162
747;-172.40249120897738
748;-172.40244119259864
749;-172.40239111897154
750;-172.40234098804285
751;-172.40229079979872
752;-172.40224055418912
753;-172.4021902511829
754;-172.40213989075164
755;-172.40208947285214
756;-172.40203899745575
757;-172.40198846452427
758;-172.40193787402745
759;-172.40188722592507
760;-172.40183652018504
761;-172.40178575677442
762;-172.40173493565635
763;-172.40168405678946
764;-172.40163312014624
765;-172.40158212568667
766;-172.40153107337278
767;-172.40147996318228
768;-172.40142879507243
769;-172.40137756899708
770;-172.40132628493416
771;-172.40127494283956
772;-172.40122354267646
773;-172.40117208442052
774;-172.40112056801468
775;-172.40106899344528
776;-172.40101736065799
777;-172.40096566962802
778;-172.40091392031036
779;-172.40086211267908
780;-172.40081024668393
781;-172.40075832229422
782;-172.40070633947607
783;-172.40065429818628
784;-172.4006021983937
785;-172.40055004005308
786;-172.4004978231344
787;-172.40044554760289
788;-172.40039321341237
789;-172.40034082052762
790;-172.40028836891702
791;-172.40023585852896
792;-172.40018328934093
793;-172.4001306612995
794;-172.40007797438852
795;-172.40002522854456
796;-172.39997242374511
797;-172.39991955994628
798;-172.39986663711215
799;-172.39981365519975
800;-172.39976061418292
801;-172.39970751399846
802;-172.39965435463341
803;-172.39960113603502
804;-172.39954785816667
805;-172.39949452098085
806;-172.39944112445619
807;-172.39938766853948
808;-172.39933415319297
809;-172.39928057838119
810;-172.39922694406164
811;-172.39917325019587
812;-172.39911949674615
813;-172.39906568366678
814;-172.39901181092046
815;-172.39895787847149
816;-172.39890388627919
817;-172.39884983429329
818;-172.3987957224881
819;-172.3987415508077
820;-172.39868731921774
821;-172.39863302768185
822;-172.39857867615228
823;-172.39852426460152
824;-172.39846979297249
825;-172.39841526122791
826;-172.39836066933003
827;-172.39830601723975
828;-172.39825130490954
829;-172.39819653230506
830;-172.39814169937472
831;-172.39808680608621
832;-172.39803185239566
833;-172.39797683826123
834;-172.39792176363767
835;-172.39786662848451
836;-172.39781143276014
837;-172.39775617642294
838;-172.397700859427
839;-172.39764548173889
840;-172.39759004330676
841;-172.3975345440881
842;-172.39747898404539
843;-172.39742336313429
844;-172.39736768131093
845;-172.39731193853527
846;-172.39725613476071
847;-172.39720026994519
848;-172.39714434404368
849;-172.39708835701367
850;-172.39703230881469
851;-172.39697619939921
852;-172.3969200287263
853;-172.39686379674617
854;-172.39680750342109
855;-172.39675114870852
856;-172.3966947325589
857;-172.39663825493312
858;-172.3965817157798
859;-172.39652511506915
860;-172.39646845273796
861;-172.39641172875531
862;-172.39635494306572
863;-172.39629809563712
864;-172.3962411864195
865;-172.39618421536261
866;-172.39612718242779
867;-172.39607008756138
868;-172.39601293072906
869;-172.39595571187806
870;-172.3958984309661
871;-172.39584108794293
872;-172.39578368276511
873;-172.39572621539742
874;-172.39566868578345
875;-172.39561109387591
876;-172.39555343964048
877;-172.39549572301416
878;-172.39543794395809
879;-172.39538010243268
880;-172.39532219838588
881;-172.39526423176903
882;-172.39520620253188
883;-172.39514811063395
884;-172.39508995602864
885;-172.39503173866956
886;-172.39497345850623
887;-172.39491511549431
888;-172.39485670958129
889;-172.3947982407301
890;-172.3947397088848
891;-172.39468111400265
892;-172.39462245603067
893;-172.39456373492635
894;-172.39450495063875
895;-172.39444610311352
896;-172.39438719231885
897;-172.3943282181981
898;-172.39426918069762
899;-172.39421007977626
900;-172.3941509153783
901;-172.39409168747375
902;-172.39403239599051
903;-172.39397304088993
904;-172.393913622122
905;-172.39385413963737
906;-172.39379459338943
907;-172.39373498332884
908;-172.39367530940558
909;-172.39361557156803
910;-172.39355576976686
911;-172.39349590395955
912;-172.39343597408947
913;-172.39337598010957
914;-172.39331592196595
915;-172.39325579961701
916;-172.3931956130009
917;-172.39313536207101
918;-172.39307504678436
919;-172.39301466708912
920;-172.39295422292162
921;-172.39289371424707
922;-172.3928331410084
923;-172.39277250315013
924;-172.39271180063383
925;-172.3926510333979
926;-172.39259020139275
927;-172.39252930456996
928;-172.39246834287337
929;-172.39240731625978
930;-172.39234622467166
931;-172.39228506805739
932;-172.39222384636355
933;-172.3921625595392
934;-172.39210120754319
935;-172.39203979031026
936;-172.39197830779108
937;-172.39191675993516
938;-172.39185514668543
939;-172.39179346800051
940;-172.39173172381697
941;-172.39166991408797
942;-172.39160803875711
943;-172.39154609777347
944;-172.39148409108248
945;-172.39142201863297
946;-172.39135988036742
947;-172.39129767623831
948;-172.39123540618652
949;-172.39117307016568
950;-172.39111066811347
951;-172.39104819998465
952;-172.39098566571374
953;-172.39092306525754
954;-172.39086039855397
955;-172.39079766556142
956;-172.39073486621101
957;-172.39067200045679
958;-172.39060906824011
959;-172.39054606951231
960;-172.39048300421564
961;-172.39041987229371
962;-172.39035667369285
963;-172.39029340835123
964;-172.39023007622427
965;-172.3901666772515
966;-172.39010321137721
967;-172.39003967854023
968;-172.38997607870078
969;-172.38991241178951
970;-172.38984867775571
971;-172.38978487654117
972;-172.38972100809337
973;-172.38965707234706
974;-172.38959306926154
975;-172.3895289987654
976;-172.38946486081159
977;-172.38940065533666
978;-172.38933638228696
979;-172.38927204160609
980;-172.38920763323563
981;-172.38914315712441
982;-172.38907861320422
983;-172.38901400143027
984;-172.38894932173207
985;-172.3888845740646
986;-172.3888197583608
987;-172.38875487456971
988;-172.38868992262701
989;-172.38862490247561
990;-172.38855981406482
991;-172.38849465732619
992;-172.3884294322088
993;-172.38836413865397
994;-172.38829877659873
995;-172.38823334598806
996;-172.38816784676055
997;-172.38810227885779
998;-172.38803664221587
999;-172.38797093678772
1000;-172.38790516250538
1001;-172.38783931930516
1002;-172.3877734071425
1003;-172.38770742594443
1004;-172.38764137566159
1005;-172.38757525622395
1006;-172.38750906757286
1007;-172.38744280965739
1008;-172.3873764824059
1009;-172.38731008576792
1010;-172.3872436196757
1011;-172.38717708407262
1012;-172.38711047889956
1013;-172.38704380408831
1014;-172.38697705958361
1015;-172.38691024532568
1016;-172.38684336125334
1017;-172.38677640729975
1018;-172.38670938340488
1019;-172.38664228951006
1020;-172.38657512556233
1021;-172.38650789147914
1022;-172.38644058721457
1023;-172.38637321270699
1024;-172.38630576788319
1025;-172.38623825269292
1026;-172.38617066706524
1027;-172.38610301093854
1028;-172.38603528425142
1029;-172.38596748695318
1030;-172.38589961895877
1031;-172.38583168022092
1032;-172.38576367067003
1033;-172.38569559024063
